Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SP1,27/09/14,Levante,Vallecano,0,2,A,0,2,A,7,13,0,5,21,16,5,7,4,3,0,0,3,3.2,2.4,2.7,3.3,2.5,2.6,3.2,2.6,2.8,3.25,2.5,2.98,3.41,2.56,2.8,3.2,2.5,,,,3,3.3,2.5,47,3.1,2.9,3.41,3.27,2.61,2.47,45,2.2,2.04,1.83,1.76,27,0,2.16,2.1,1.83,1.77
SP1,27/09/14,Villarreal,Real Madrid,0,2,A,0,2,A,19,11,5,3,7,10,7,6,0,1,0,0,5.25,4,1.62,4.75,3.8,1.67,5,3.9,1.6,5.5,4,1.6,5.44,4.27,1.66,5,3.75,1.67,,,,5.2,4.1,1.67,47,6.1,5.21,4.35,4.01,1.71,1.64,36,1.63,1.58,2.58,2.34,26,1,1.84,1.77,2.17,2.1
SP1,28/09/14,Cordoba,Espanol,0,0,D,0,0,D,10,4,4,2,13,26,3,5,2,6,0,0,2.7,3.25,2.6,2.65,3.2,2.65,2.5,3.3,2.65,2.62,3.3,2.62,2.92,3.25,2.71,2.7,3.1,2.7,,,,2.9,3.25,2.7,45,2.96,2.77,3.4,3.21,2.77,2.62,41,2.47,2.28,1.67,1.61,26,0,2.05,1.98,1.9,1.87
SP1,28/09/14,Getafe,Malaga,1,0,H,1,0,H,9,10,3,0,8,16,4,4,0,3,0,1,3,3.2,2.38,2.75,3.1,2.6,2.6,3.2,2.6,2.7,3.25,2.6,3.17,3.23,2.54,2.8,3.1,2.62,,,,3.1,3.25,2.55,47,3.17,2.92,3.3,3.18,2.8,2.52,41,2.53,2.36,1.64,1.57,26,0,2.21,2.11,1.83,1.76
SP1,28/09/14,La Coruna,Almeria,0,1,A,0,0,D,8,15,1,6,14,18,6,5,2,4,0,0,2.05,3.4,3.6,2.1,3.3,3.4,2,3.3,3.6,2.1,3.3,3.6,2.07,3.41,4.12,2.1,3.2,3.6,,,,2.1,3.4,4,47,2.16,2.07,3.5,3.32,4.12,3.71,41,2.34,2.25,1.7,1.63,25,-0.5,2.15,2.06,1.88,1.82
SP1,28/09/14,Sociedad,Valencia,1,1,D,1,1,D,18,7,5,2,13,17,11,4,2,5,0,0,2.63,3.3,2.63,2.6,3.3,2.6,2.5,3.3,2.65,2.5,3.3,2.75,2.72,3.44,2.76,2.7,3.1,2.7,,,,2.7,3.5,2.7,44,2.82,2.62,3.5,3.28,2.8,2.7,42,1.94,1.81,2.06,1.97,25,0,1.96,1.9,2,1.95
SP1,4/10/2014,Almeria,Elche,2,2,D,1,1,D,16,6,3,3,13,18,9,5,2,4,0,1,2.15,3.1,3.6,2.15,3.3,3.3,2.1,3.3,3.3,2.2,3.2,3.5,2.28,3.26,3.64,2.25,3.1,3.4,,,,2.3,3.25,3.6,45,2.3,2.2,3.4,3.2,3.65,3.46,34,2.56,2.41,1.6,1.54,23,-0.25,1.95,1.91,2,1.96
SP1,5/10/2014,Celta,Villarreal,1,3,A,1,2,A,15,11,6,4,15,22,11,4,3,4,1,0,2.38,3.2,3,2.45,3.2,2.85,2.4,3.2,2.85,2.37,3.25,3,2.57,3.4,2.96,2.5,3.2,2.8,,,,2.55,3.3,2.9,45,2.6,2.49,3.42,3.27,3,2.87,42,2.1,1.99,1.9,1.8,26,0,1.86,1.81,2.11,2.05
SP1,4/10/2014,Eibar,Levante,3,3,D,0,2,A,14,13,6,5,12,16,4,4,3,1,0,0,1.8,3.4,4.75,1.8,3.25,4.75,1.85,3.45,4,1.83,3.3,4.75,1.83,3.4,5.62,1.83,3.2,5,,,,1.8,3.4,5.75,45,1.85,1.8,3.55,3.35,5.75,4.98,34,2.89,2.68,1.51,1.44,23,-0.75,2.1,2.06,1.85,1.81
SP1,5/10/2014,Espanol,Sociedad,2,0,H,1,0,H,10,13,4,4,20,12,4,4,6,2,0,0,2.5,3.25,2.8,2.45,3.25,2.85,2.5,3.3,2.65,2.4,3.3,3,2.63,3.32,2.95,2.7,3.1,2.7,,,,2.62,3.3,2.9,45,2.7,2.53,3.35,3.22,3.02,2.85,42,2.2,2.11,1.78,1.71,26,0,1.87,1.81,2.1,2.05
