res,team,oteam,day,mon,yea,gs,ogs,sh,osho,st,ost,co,oco,fo,ofo,ye,oye,re,ore
0,41,7,23,10,2005,0,2,2,19,1,12,1,10,16,13,2,2,0,0
1,16,12,23,10,2005,1,1,4,24,4,12,3,11,14,14,2,2,0,0
1,12,16,23,10,2005,1,1,24,4,12,4,11,3,14,14,2,2,0,0
2,26,37,23,10,2005,3,2,12,10,9,5,5,3,12,13,2,2,0,0
0,37,26,23,10,2005,2,3,10,12,5,9,3,5,13,12,2,2,0,0
2,42,25,23,10,2005,2,1,15,19,8,9,4,7,11,9,1,2,0,0
0,25,42,23,10,2005,1,2,19,15,9,8,7,4,9,11,2,1,0,0
0,4,16,29,10,2005,0,1,18,11,8,6,8,6,11,15,0,1,0,0
2,16,4,29,10,2005,1,0,11,18,6,8,6,8,15,11,1,0,0,0
0,11,7,29,10,2005,0,1,7,11,4,7,4,2,11,13,1,0,0,0
2,7,11,29,10,2005,1,0,11,7,7,4,2,4,13,11,0,1,0,0
2,12,5,29,10,2005,4,2,19,6,10,4,5,2,12,19,1,5,0,0
0,5,12,29,10,2005,2,4,6,19,4,10,2,5,19,12,5,1,0,0
2,22,42,29,10,2005,2,0,17,4,9,2,10,5,15,13,2,0,0,0
0,42,22,29,10,2005,0,2,4,17,2,9,5,10,13,15,0,2,0,0
2,25,24,29,10,2005,4,1,7,13,4,8,2,6,14,22,1,4,0,0
0,24,25,29,10,2005,1,4,13,7,8,4,6,2,22,14,4,1,0,0
0,37,30,29,10,2005,1,4,5,5,2,5,11,2,11,9,0,1,0,0
2,30,37,29,10,2005,4,1,5,5,5,2,2,11,9,11,1,0,0,0
1,39,1,29,10,2005,1,1,11,10,3,7,6,1,18,13,4,2,0,0
1,1,39,29,10,2005,1,1,10,11,7,3,1,6,13,18,2,4,0,0
2,43,17,29,10,2005,1,0,12,7,6,1,6,3,11,7,1,1,0,0
0,17,43,29,10,2005,0,1,7,12,1,6,3,6,7,11,1,1,0,0
0,41,26,30,10,2005,0,3,8,11,4,8,9,4,9,14,0,1,0,0
2,26,41,30,10,2005,3,0,11,8,8,4,4,9,14,9,1,0,0,0
2,23,2,31,10,2005,3,1,13,11,5,5,2,6,17,10,1,1,0,0
0,2,23,31,10,2005,1,3,11,13,5,5,6,2,10,17,1,1,0,0
2,1,37,05,11,2005,3,1,12,1,9,1,4,6,11,13,0,1,0,0
0,37,1,05,11,2005,1,3,1,12,1,9,6,4,13,11,1,0,0,0
0,2,22,05,11,2005,0,2,6,10,2,6,3,5,16,11,2,2,0,0
2,22,2,05,11,2005,2,0,10,6,6,2,5,3,11,16,2,2,0,0
2,5,11,05,11,2005,4,1,9,10,3,9,7,9,9,15,0,2,0,0
0,11,5,05,11,2005,1,4,10,9,9,3,9,7,15,9,2,0,0,0
2,17,23,05,11,2005,2,1,9,4,5,2,4,2,10,16,1,3,0,0
0,23,17,05,11,2005,1,2,4,9,2,5,2,4,16,10,3,1,0,0
2,26,4,05,11,2005,1,0,10,9,5,3,3,2,20,18,3,2,0,0
0,4,26,05,11,2005,0,1,9,10,3,5,2,3,18,20,2,3,0,0
0,30,43,05,11,2005,0,2,7,7,4,5,5,8,11,13,1,2,0,0
2,43,30,05,11,2005,2,0,7,7,5,4,8,5,13,11,2,1,0,0
2,42,41,05,11,2005,1,0,10,10,6,6,8,5,15,12,2,0,0,0
0,41,42,05,11,2005,0,1,10,10,6,6,5,8,12,15,0,2,0,0
2,16,25,06,11,2005,1,0,12,17,8,9,9,3,21,16,2,1,0,0
0,25,16,06,11,2005,0,1,17,12,9,8,3,9,16,21,1,2,0,0
2,24,12,06,11,2005,1,0,10,21,5,11,5,9,19,14,3,4,0,0
0,12,24,06,11,2005,0,1,21,10,11,5,9,5,14,19,4,3,0,0
2,7,39,07,11,2005,1,0,9,9,8,7,6,5,13,9,0,1,0,0
0,39,7,07,11,2005,0,1,9,9,7,8,5,6,9,13,1,0,0,0
0,11,24,19,11,2005,1,3,18,13,11,7,4,3,13,11,0,2,0,0
2,24,11,19,11,2005,3,1,13,18,7,11,3,4,11,13,2,0,0,0
2,12,26,19,11,2005,3,0,12,3,4,2,3,5,12,13,2,1,0,0
0,26,12,19,11,2005,0,3,3,12,2,4,5,3,13,12,1,2,0,0
2,22,30,19,11,2005,3,0,15,7,11,5,7,6,7,8,1,1,0,0
0,30,22,19,11,2005,0,3,7,15,5,11,6,7,8,7,1,1,0,0
1,23,5,19,11,2005,0,0,12,5,4,4,4,4,7,15,2,4,0,0
1,5,23,19,11,2005,0,0,5,12,4,4,4,4,15,7,4,2,0,0
0,37,2,19,11,2005,1,3,8,16,6,11,6,5,10,13,2,1,0,0
2,2,37,19,11,2005,3,1,16,8,11,6,5,6,13,10,1,2,0,0
2,41,16,19,11,2005,4,0,11,11,8,6,4,8,11,9,0,0,0,0
0,16,41,19,11,2005,0,4,11,11,6,8,8,4,9,11,0,0,0,0
0,43,1,19,11,2005,2,3,11,13,5,8,2,2,16,17,3,3,0,0
2,1,43,19,11,2005,3,2,13,11,8,5,2,2,17,16,3,3,0,0
2,25,17,20,11,2005,3,2,20,9,11,6,9,4,9,16,0,1,0,0
0,17,25,20,11,2005,2,3,9,20,6,11,4,9,16,9,1,0,0,0
1,39,42,20,11,2005,1,1,15,8,8,4,9,7,16,13,3,1,0,0
1,42,39,20,11,2005,1,1,8,15,4,8,7,9,13,16,1,3,0,0
2,1,5,26,11,2005,3,0,13,15,10,9,9,10,9,15,1,2,0,0
0,5,1,26,11,2005,0,3,15,13,9,10,10,9,15,9,2,1,0,0
2,2,11,26,11,2005,1,0,16,5,10,3,10,3,9,12,2,2,0,0
0,11,2,26,11,2005,0,1,5,16,3,10,3,10,12,9,2,2,0,0
0,23,22,26,11,2005,0,1,3,8,1,6,6,4,13,13,0,2,0,0
2,22,23,26,11,2005,1,0,8,3,6,1,4,6,13,13,2,0,0,0
0,30,12,26,11,2005,0,2,6,12,2,6,2,1,22,7,5,1,0,0
2,12,30,26,11,2005,2,0,12,6,6,2,1,2,7,22,1,5,0,0
0,37,4,26,11,2005,0,1,4,10,3,7,6,2,7,10,0,0,0,0
2,4,37,26,11,2005,1,0,10,4,7,3,2,6,10,7,0,0,0,0
0,43,39,26,11,2005,1,2,11,7,3,5,6,5,14,17,0,2,0,0
2,39,43,26,11,2005,2,1,7,11,5,3,5,6,17,14,2,0,0,0
2,16,26,27,11,2005,1,0,14,16,9,10,12,8,19,19,1,5,0,0
0,26,16,27,11,2005,0,1,16,14,10,9,8,12,19,19,5,1,0,0
2,17,7,27,11,2005,2,1,10,5,7,3,3,6,17,18,2,7,0,0
0,7,17,27,11,2005,1,2,5,10,3,7,6,3,18,17,7,2,0,0
1,25,41,27,11,2005,2,2,13,9,8,6,6,5,15,13,1,1,0,0
1,41,25,27,11,2005,2,2,9,13,6,8,5,6,13,15,1,1,0,0
0,42,24,27,11,2005,1,2,10,16,3,10,4,5,15,7,2,3,0,0
2,24,42,27,11,2005,2,1,16,10,10,3,5,4,7,15,3,2,0,0
0,37,22,30,11,2005,0,2,8,15,4,11,3,3,15,10,0,2,0,1
2,22,37,30,11,2005,2,0,15,8,11,4,3,3,10,15,2,0,1,0
0,5,16,03,12,2005,0,2,15,8,7,5,7,5,8,18,1,1,1,0
2,16,5,03,12,2005,2,0,8,15,5,7,5,7,18,8,1,1,0,1
2,7,1,03,12,2005,2,0,10,8,9,3,9,3,16,15,1,2,0,0
0,1,7,03,12,2005,0,2,8,10,3,9,3,9,15,16,2,1,0,0
2,12,25,03,12,2005,1,0,17,10,9,5,6,4,15,14,0,0,0,0
0,25,12,03,12,2005,0,1,10,17,5,9,4,6,14,15,0,0,0,0
2,22,43,03,12,2005,3,0,16,10,12,6,11,6,16,15,1,2,0,0
0,43,22,03,12,2005,0,3,10,16,6,12,6,11,15,16,2,1,0,0
2,24,30,03,12,2005,3,0,19,8,12,4,11,4,9,16,0,1,0,0
0,30,24,03,12,2005,0,3,8,19,4,12,4,11,16,9,1,0,0,0
1,26,2,03,12,2005,1,1,8,9,2,6,6,4,17,15,1,2,0,0
1,2,26,03,12,2005,1,1,9,8,6,2,4,6,15,17,2,1,0,0
2,39,37,03,12,2005,3,2,14,5,8,2,12,0,8,19,0,2,0,0
0,37,39,03,12,2005,2,3,5,14,2,8,0,12,19,8,2,0,0,0
1,41,17,03,12,2005,0,0,5,8,4,1,1,3,8,15,1,3,0,1
1,17,41,03,12,2005,0,0,8,5,1,4,3,1,15,8,3,1,1,0
0,11,23,04,12,2005,2,5,10,17,4,9,8,4,20,14,2,3,0,0
2,23,11,04,12,2005,5,2,17,10,9,4,4,8,14,20,3,2,0,0
0,4,42,05,12,2005,1,2,14,10,6,4,11,8,12,5,1,1,0,0
2,42,4,05,12,2005,2,1,10,14,4,6,8,11,5,12,1,1,0,0
2,4,17,10,12,2005,1,0,11,7,7,3,2,2,12,10,0,0,0,0
0,17,4,10,12,2005,0,1,7,11,3,7,2,2,10,12,0,0,0,0
2,5,42,10,12,2005,3,2,14,6,5,3,4,1,13,14,3,6,0,0
0,42,5,10,12,2005,2,3,6,14,3,5,1,4,14,13,6,3,0,0
1,7,2,10,12,2005,1,1,13,6,7,3,6,3,16,22,2,4,0,0
1,2,7,10,12,2005,1,1,6,13,3,7,3,6,22,16,4,2,0,0
2,11,37,10,12,2005,2,0,14,14,8,6,3,6,11,16,0,2,0,0
0,37,11,10,12,2005,0,2,14,14,6,8,6,3,16,11,2,0,0,0
2,12,43,10,12,2005,1,0,11,4,8,1,5,1,16,10,1,1,0,0
0,43,12,10,12,2005,0,1,4,11,1,8,1,5,10,16,1,1,0,0
2,22,25,10,12,2005,2,0,23,6,13,3,11,2,10,18,1,2,0,1
0,25,22,10,12,2005,0,2,6,23,3,13,2,11,18,10,2,1,1,0
2,26,1,10,12,2005,1,0,8,6,4,3,5,4,23,13,2,1,0,1
0,1,26,10,12,2005,0,1,6,8,3,4,4,5,13,23,1,2,1,0
2,41,23,10,12,2005,2,0,11,8,4,2,4,6,17,13,1,4,0,1
0,23,41,10,12,2005,0,2,8,11,2,4,6,4,13,17,4,1,1,0
1,24,16,11,12,2005,1,1,21,7,12,5,9,0,12,11,1,2,0,0
1,16,24,11,12,2005,1,1,7,21,5,12,0,9,11,12,2,1,0,0
2,39,30,12,12,2005,3,1,16,8,9,5,6,3,6,19,0,0,0,0
0,30,39,12,12,2005,1,3,8,16,5,9,3,6,19,6,0,0,0,0
0,16,42,14,12,2005,1,2,12,7,3,2,4,9,10,11,2,1,0,0
2,42,16,14,12,2005,2,1,7,12,2,3,9,4,11,10,1,2,0,0
2,24,43,14,12,2005,4,0,12,15,9,7,7,7,12,6,1,1,0,0
0,43,24,14,12,2005,0,4,15,12,7,9,7,7,6,12,1,1,0,0
0,2,24,17,12,2005,0,2,11,17,7,10,2,6,19,16,1,0,0,0
2,24,2,17,12,2005,2,0,17,11,10,7,6,2,16,19,0,1,0,0
0,16,7,17,12,2005,0,4,13,7,10,5,10,0,13,15,2,2,0,0
2,7,16,17,12,2005,4,0,7,13,5,10,0,10,15,13,2,2,0,0
2,17,5,17,12,2005,2,1,8,10,5,4,8,12,12,13,4,4,0,0
0,5,17,17,12,2005,1,2,10,8,4,5,12,8,13,12,4,4,0,0
2,23,4,17,12,2005,4,1,17,6,9,2,7,5,19,12,2,2,0,1
0,4,23,17,12,2005,1,4,6,17,2,9,5,7,12,19,2,2,1,0
2,30,41,17,12,2005,1,0,5,4,4,2,6,8,15,7,1,1,0,0
0,41,30,17,12,2005,0,1,4,5,2,4,8,6,7,15,1,1,0,0
0,42,26,17,12,2005,2,4,11,10,7,7,3,2,9,16,3,3,0,0
2,26,42,17,12,2005,4,2,10,11,7,7,2,3,16,9,3,3,0,0
2,43,11,17,12,2005,3,0,18,5,12,2,12,3,8,8,0,1,0,0
0,11,43,17,12,2005,0,3,5,18,2,12,3,12,8,8,1,0,0,0
0,1,12,18,12,2005,0,2,7,11,5,8,5,5,13,18,3,4,0,0
2,12,1,18,12,2005,2,0,11,7,8,5,5,5,18,13,4,3,0,0
1,25,39,18,12,2005,3,3,11,8,8,5,14,4,17,13,2,3,0,0
1,39,25,18,12,2005,3,3,8,11,5,8,4,14,13,17,3,2,0,0
2,2,16,26,12,2005,4,0,12,10,7,5,4,9,12,11,0,0,0,0
