res,team,oteam,day,mon,yea,gs,ogs,sh,osho,st,ost,co,oco,fo,ofo,ye,oye,re,ore
1,37,17,11,12,2010,0,0,11,14,2,13,3,4,10,14,1,0,0,0
2,26,22,11,12,2010,3,1,8,16,5,7,2,5,19,13,2,1,0,0
0,22,26,11,12,2010,1,3,16,8,7,5,5,2,13,19,1,2,0,0
0,36,6,11,12,2010,0,1,16,10,5,5,10,4,12,11,0,2,0,0
2,6,36,11,12,2010,1,0,10,16,5,5,4,10,11,12,2,0,0,0
0,42,23,11,12,2010,1,3,13,12,3,7,2,6,10,13,1,3,0,0
2,23,42,11,12,2010,3,1,12,13,7,3,6,2,13,10,3,1,0,0
2,7,5,12,12,2010,2,1,12,16,7,11,3,10,12,13,4,3,1,0
0,5,7,12,12,2010,1,2,16,12,11,7,10,3,13,12,3,4,0,1
1,39,12,12,12,2010,1,1,10,13,3,7,1,7,9,13,2,2,0,0
1,12,39,12,12,2010,1,1,13,10,7,3,7,1,13,9,2,2,0,0
2,45,4,12,12,2010,1,0,14,3,9,0,7,2,9,15,2,4,0,0
